Name,Voltage,Capacity,Energy,Thickness,Width,Length,Impedance,Tab Width,Tab Distance,Current,Weight,Note,Power,cap/gram,wh/gram,Duration
A10,1.4,90,126,,,,,,,,0.31,Zinc-Air,0,290.3225806,406.4516129,0.84
HCP300812,3.7,13,48.1,3,8.5,12.5,1200,1.5,5,3.083333333,0.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",11.40833333,26,96.2,0.320666667
A312,1.4,150,210,,,,,,,,0.54,Zinc-Air,0,277.7777778,388.8888889,1.4
HCP351013,3.7,15,55.5,3.5,9.8,13.5,1200,2,4,3.083333333,0.72,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",11.40833333,20.83333333,77.08333333,0.37
HCP371114,3.7,21,77.7,3.6,10.9,13.8,1400,2,5,2.642857143,0.84,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",9.778571429,25,92.5,0.518
A13,1.4,280,392,,,,,,,,0.84,Zinc-Air,0,333.3333333,466.6666667,2.613333333
BR435,3,50,150,4.2,35.9,3.5,,,,,0.85,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",0,58.82352941,176.4705882,1
HCP251515,3.7,28,103.6,2.5,15.5,15.5,850,2,9.3,4.352941176,0.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",16.10588235,31.11111111,115.1111111,0.690666667
HCP231715,3.7,25,92.5,2.3,17.5,15.5,700,2,10.5,5.285714286,0.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",19.55714286,27.77777778,102.7777778,0.616666667
HCP251020,3.7,25,92.5,2.7,10.8,20.8,700,2,4.5,5.285714286,0.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",19.55714286,27.77777778,102.7777778,0.616666667
HCP301215,3.7,25,92.5,3.2,12.5,15.5,700,2,4,5.285714286,0.97,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",19.55714286,25.77319588,95.36082474,0.616666667
HCP182030,3.7,45,166.5,1.8,20.5,30.5,450,2,9,8.222222222,1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",30.42222222,45,166.5,1.11
HCP301317,3.7,40,148,3.5,12.5,16,500,2,5,7.4,1.09,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",27.38,36.69724771,135.7798165,0.986666667
HCP301020,3.7,30,111,3.2,11,20.8,600,2,4.5,6.166666667,1.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",22.81666667,27.27272727,100.9090909,0.74
HCP340923,3.7,40,148,3.4,9.3,23,500,2,4.5,7.4,1.13,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",27.38,35.39823009,130.9734513,0.986666667
9130,3.7,60,222,13,9,,,,,,1.2,,,50,185,1.48
CP1240,3.7,55,203.5,4,12.1,,,,,,1.2,,4.44,45.83333333,169.5833333,1.356666667
HCP381018,3.7,35,129.5,4,10.8,18.5,700,2,4,5.285714286,1.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",19.55714286,29.16666667,107.9166667,0.863333333
HCP401215,3.7,35,129.5,4,12.5,15.5,600,2,5,6.166666667,1.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",22.81666667,29.16666667,107.9166667,0.863333333
HCP321024,3.7,50,185,3.2,10.5,24.5,420,2,6.3,8.80952381,1.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",32.5952381,41.66666667,154.1666667,1.233333333
HCP381120,3.7,45,166.5,3.8,11.5,20.5,420,3,5,8.80952381,1.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",32.5952381,37.5,138.75,1.11
LR1130,1.5,70,105,,,,,,,#DIV/0!,1.2,,#DIV/0!,58.33333333,87.5,0.7
HCP250834,3.7,40,148,2.7,8.6,34.5,550,2,4,6.727272727,1.26,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",24.89090909,31.74603175,117.4603175,0.986666667
HCP351219,3.7,45,166.5,3.6,12.5,19,470,2,4.5,7.872340426,1.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",29.12765957,34.61538462,128.0769231,1.11
LIR1054,3.7,40,148,5.4,10,,,,,,1.3,,0,30.76923077,113.8461538,0.986666667
HCP401120,3.7,55,203.5,4.1,11.5,20.5,350,2,5,10.57142857,1.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",39.11428571,39.28571429,145.3571429,1.356666667
HCP401515,3.7,48,177.6,4.2,15.5,15.5,480,2,6,7.708333333,1.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",28.52083333,32,118.4,1.184
CP1254,3.7,77,284.9,5.4,12.1,,,,,,1.6,,5.92,48.125,178.0625,1.899333333
HCP501218,3.7,60,222,5,11.8,18,420,2,5,8.80952381,1.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",32.5952381,37.5,138.75,1.48
HCP401220,3.7,65,240.5,4.2,12.3,21,350,2,5,10.57142857,1.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",39.11428571,40.625,150.3125,1.603333333
LIR1454,3.7,85,314.5,5.4,14,,,,,,1.6,,0,53.125,196.5625,2.096666667
HCP451416,3.7,50,185,4.5,14.5,16,400,3,5,9.25,1.63,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",34.225,30.67484663,113.4969325,1.233333333
HCP501021,3.7,70,259,5,10.5,21.5,400,2,6.3,9.25,1.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",34.225,41.17647059,152.3529412,1.726666667
HCP401716,3.7,60,222,4,17,16,360,2,9,10.27777778,1.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",38.02777778,35.29411765,130.5882353,1.48
HCP301135,3.7,90,333,3,11.5,35.5,260,2,6.9,14.23076923,1.8,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",52.65384615,50,185,2.22
LIR1254,3.7,60,222,5.4,12,,,,,,1.8,,0,33.33333333,123.3333333,1.48
A675,1.4,620,868,,,,,,,16,1.82,Zinc-Air,22.4,340.6593407,476.9230769,5.786666667
HCP501220,3.7,85,314.5,5,12.5,20.5,300,2,5,12.33333333,1.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",45.63333333,44.73684211,165.5263158,2.096666667
HCP381525,3.7,90,333,3.8,15.5,25.5,240,2,6.5,15.41666667,2.02,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",57.04166667,44.55445545,164.8514851,2.22
HCP362018,3.7,90,333,3.6,19.8,18.5,300,2,9.5,12.33333333,2.06,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",45.63333333,43.68932039,161.6504854,2.22
HCP751717,3.7,110,407,7.5,17.5,17.5,270,2,9,13.7037037,2.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",50.7037037,50,185,2.713333333
HCP451225,3.7,100,370,4.6,12.5,25.5,270,2,5.3,13.7037037,2.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",50.7037037,45.45454545,168.1818182,2.466666667
HCP511419,3.7,90,333,5.1,14.5,19.5,260,2,8.7,14.23076923,2.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",52.65384615,40.90909091,151.3636364,2.22
HCP351624,3.7,90,333,3.5,16.5,24.5,300,2,6.5,12.33333333,2.21,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",45.63333333,40.7239819,150.678733,2.22
CP1454,3.7,114,421.8,5.4,14.1,,,,,,2.3,,8.51,49.56521739,183.3913043,2.812
